Date,Category,Location,Booster_Eligible,Booster_Eligible_NotBoosted,Booster_Eligible_Boosted_Pct,Booster_Eligible_NotBoosted_Pct,Booster_Eligible_US_Pct,Booster_Eligible_12Plus,Booster_Eligible_NotBoosted_12Plus,Booster_Eligible_Boosted_12Plus_Pct,Booster_Eligible_NotBoosted_12Plus_Pct,Booster_Eligible_US_12Plus_Pct,Booster_Eligible_18Plus,Booster_Eligible_NotBoosted_18Plus,Booster_Eligible_Boosted_18Plus_Pct,Booster_Eligible_NotBoosted_18Plus_Pct,Booster_Eligible_US_18Plus_Pct,Booster_Eligible_50Plus,Booster_Eligible_NotBoosted_50Plus,Booster_Eligible_Boosted_50Plus_Pct,Booster_Eligible_NotBoosted_50Plus_Pct,Booster_Eligible_US_50Plus_Pct,Booster_Eligible_65Plus,Booster_Eligible_NotBoosted_65Plus,Booster_Eligible_Boosted_65Plus_Pct,Booster_Eligible_NotBoosted_65Plus_Pct,Booster_Eligible_US_65Plus_Pct
4/13/2022 0:00,Total_Population,US,"182,668,608","90,681,766",50.4,49.6,100,"182,668,608","90,681,766",50.4,49.6,100,"170,963,458","82,795,462",51.6,48.4,100,"90,057,745","34,867,209",61.3,38.7,100,"44,529,513","14,817,597",66.7,33.3,100
4/13/2022 0:00,Race_eth_NHMultiracial,US,"1,394,686","641,417",54,46,0.8,"1,394,686","641,417",54,46,0.8,"1,174,825","499,673",57.5,42.5,0.7,"527,831","161,045",69.5,30.5,0.6,"264,391","69,596",73.7,26.3,0.6
4/13/2022 0:00,Race_eth_NHNHOPI,US,"467,843","244,688",47.7,52.3,0.3,"467,843","244,688",47.7,52.3,0.3,"423,558","215,520",49.1,50.9,0.2,"168,015","64,640",61.5,38.5,0.2,"66,650","22,934",65.6,34.4,0.1
4/13/2022 0:00,Race_eth_NHBlack,US,"13,889,538","7,833,600",43.6,56.4,7.6,"13,889,538","7,833,600",43.6,56.4,7.6,"12,829,560","7,007,297",45.4,54.6,7.5,"6,701,868","2,836,004",57.7,42.3,7.4,"2,830,725","1,011,255",64.3,35.7,6.4
4/13/2022 0:00,Race_eth_unknown,US,"43,695,202","22,809,181",47.8,52.2,23.9,"43,695,202","22,809,181",47.8,52.2,23.9,"42,022,825","21,627,999",48.5,51.5,24.6,"22,120,908","9,334,080",57.8,42.2,24.6,"10,637,556","3,898,681",63.3,36.7,23.9
4/13/2022 0:00,Race_eth_known,US,"138,973,406","67,872,585",51.2,48.8,76.1,"138,973,406","67,872,585",51.2,48.8,76.1,"128,940,633","61,167,463",52.6,47.4,75.4,"67,936,837","25,533,129",62.4,37.6,75.4,"33,891,957","10,918,916",67.8,32.2,76.1
4/13/2022 0:00,Race_eth_NHOther,US,"5,290,151","2,639,599",50.1,49.9,2.9,"5,290,151","2,639,599",50.1,49.9,2.9,"4,886,114","2,371,971",51.5,48.5,2.9,"2,440,258","947,903",61.2,38.8,2.7,"1,237,113","426,493",65.5,34.5,2.8
4/13/2022 0:00,Race_eth_NHAsian,US,"9,452,282","3,750,697",60.3,39.7,5.2,"9,452,282","3,750,697",60.3,39.7,5.2,"8,630,600","3,324,022",61.5,38.5,5,"3,363,567","1,044,414",68.9,31.1,3.7,"1,400,179","382,328",72.7,27.3,3.1
4/13/2022 0:00,Race_eth_Hispanic,US,"24,043,537","14,259,617",40.7,59.3,13.2,"24,043,537","14,259,617",40.7,59.3,13.2,"21,413,512","12,349,113",42.3,57.7,12.5,"7,943,796","3,516,695",55.7,44.3,8.8,"3,001,111","1,130,171",62.3,37.7,6.7
4/13/2022 0:00,Race_eth_NHAIAN,US,"1,245,545","674,480",45.8,54.2,0.7,"1,245,545","674,480",45.8,54.2,0.7,"1,114,741","582,310",47.8,52.2,0.7,"522,456","220,380",57.8,42.2,0.6,"223,210","84,636",62.1,37.9,0.5
